playlist_id,playlist_name,author,Amount_of_play,Playlist_link,Playlist_label
4953822250,精选说唱伴奏，不听别后悔,帅的SHT,43万,https://music.163.com//playlist?id=4953822250,说唱、轻音乐
4911584395,恒弟弟（吃鸡必备）,你的Sw,88761,https://music.163.com//playlist?id=4911584395,欧美、电子、说唱
2392781495,?新疆说唱?Sarkar,#NAME?,19万,https://music.163.com//playlist?id=2392781495,说唱、R&amp;B/Soul、民族
2951445582,【说唱】虽知结局，也不悔经历,oxygen半仙,27万,https://music.163.com//playlist?id=2951445582,华语、说唱、伤感
3179343096,「姆爷好听的单曲TOP100」,艾萨克没头脑,61881,https://music.163.com//playlist?id=3179343096,欧美、说唱
2884099847,中国新说唱2018,王小正的政,21万,https://music.163.com//playlist?id=2884099847,流行、说唱
3126259453,欧美 | 踱步远山中，藏身繁星间。,欧美集,4030,https://music.163.com//playlist?id=3126259453,欧美、流行、说唱
2827171182,tom macdonald,鸽补法,34510,https://music.163.com//playlist?id=2827171182,欧美、说唱
4887868091,丧70%说唱｜我也可以爱这个世界吗,小鲸不开心,21万,https://music.163.com//playlist?id=4887868091,华语、说唱、孤独
2114661715,Tekashi 69,AllEyez0nMe,59万,https://music.163.com//playlist?id=2114661715,欧美、说唱。更多相关热门精选歌单推荐尽在网易云音乐
2913612358,Kanye West 代表作,Softpi,13万,https://music.163.com//playlist?id=2913612358,说唱、欧美
4864450403,不容错过的hiphop/rap/trap/os etc(持续更,孙宇瑶Grasheyl外加一个小樱桃,10万,https://music.163.com//playlist?id=4864450403,欧美、华语、说唱
2392702642,O.WEN_欧文,Baek_LinYi_,24万,https://music.163.com//playlist?id=2392702642,说唱
2326283548,【Jony J】豆芽防火線,高速乘客,15万,https://music.163.com//playlist?id=2326283548,华语、说唱、R&amp;B/Soul
5070338911,中文说唱?|?节奏中感受潮流,卡哇伊哦a,23万,https://music.163.com//playlist?id=5070338911,华语、说唱、酒吧
4934313320,呆子说唱第一人,offset____,6601,https://music.163.com//playlist?id=4934313320,欧美、说唱
3194746150,Trap Rap,PRIIB,5273,https://music.163.com//playlist?id=3194746150,欧美、说唱、R&amp;B/Soul。更多相关热门精选歌单推荐尽在网易云音乐
4922277832,淡黄的长裙 蓬松的头发,陈皮诺Pii,12万,https://music.163.com//playlist?id=4922277832,华语、说唱、R&amp;B/Soul
2646795592,说唱伴奏【FREE BEAT / killer 制造 】,失踪人口Redkiller,15万,https://music.163.com//playlist?id=2646795592,说唱、R&amp;B/Soul、流行
4976873518,中文说唱?—心之所向?素履以往,江辉巨,13万,https://music.163.com//playlist?id=4976873518,华语、说唱、感动
4923943233,CHN饶社?原创说唱作品合集,CHN桉树,11901,https://music.163.com//playlist?id=4923943233,华语、说唱、校园
5189550726,你的氟西丁歌单。,想想要两颗西柚yo,78,https://music.163.com//playlist?id=5189550726,华语、流行、说唱
5190828941,无法呼吸的环绕,错过ha,6,https://music.163.com//playlist?id=5190828941,说唱、民谣、日语
5186089364,你搜不到的土嗨神曲,李易峰-塔哥,2,https://music.163.com//playlist?id=5186089364,古典、英伦、说唱
5197848239,Rappers' albums说唱歌手专辑,TICO畅畅,2,https://music.163.com//playlist?id=5197848239,说唱、华语、世界音乐
5175917143,人间自有真情在,Hoularouorekl,17,https://music.163.com//playlist?id=5175917143,欧美、流行、说唱。更多相关热门精选歌单推荐尽在网易云音乐
5184521864,肤浅“爱情”歌单[RAp],柖昀_烧鱼,177,https://music.163.com//playlist?id=5184521864,流行、说唱、00后
5167044735,MaxxWell Q - Licorice 采样rap,HippieFrog,38,https://music.163.com//playlist?id=5167044735,欧美、说唱、运动。更多相关热门精选歌单推荐尽在网易云音乐
5197158300,Redamancy__,#NAME?,42,https://music.163.com//playlist?id=5197158300,说唱、欧美
5132517988,超苏rap｜心里砰砰跳！,三岁小猪乔治,148,https://music.163.com//playlist?id=5132517988,说唱、性感、放松
